aaa;aaa;anda;12;100;0;;;0
7790270336307;7790270336307;chocolate;10,2;100;0;;;0
7793640210221;;Bayaspirina x 50u;6.95;100;N;1;100;0
2;;Aspirinetas x 50u;6.67;0;N;1;140;0
3;1;Bayaspirina C Limon x 6s.;3.71;0;N;1;4;0
5;;Cafiaspirina X 50U;6.69;0;N;1;100;1
13;;Jamcitos X 20U;4.7;432;1;2.5;10;0
22;;Queso Rallado Caeva x 40g;1.03;0;N;1;120;0
30;;Actron Mujer x 10u;6.91;0;N;1;1;0
31;;Copitos Grandote x 24u;15.87;0;N;1;12;0
7793065000117;17793065000114;CAJON DE POLLO;220.01;3276;N;1;1;0
1000007791673;;Alf Rapsodia Marroc  32u x 45g;17.59;977;N;1;1;0
7790129100134;;Encendedores Cancun x 25u;20.91;2098;N;1;40;0
37;;Guantes Pizpireta Negro Medianos;3.64;0;N;1;60;0
60;;Pure de Tomate Cica x 520 (12);2.55;0;N;1;12;0
7794000592506;57794000592501;Pure de Papas Knorr x 125g;3.3;6;N;1;12;0
7791293417080;;Sedal Enj Ceramidas X 24u;9.06;88;N;1;4;0
79;;Choc.Georgalos 40u x 8grs Ngro;10.19;0;N;1;12;0
7791324157077;;Pitusas Vainilla Caja x 4kg Fort.;41.48;40;N;1;1;0
7793024006112;;Masticable Osi Osi Frutal x 500g;6.14;663;N;1;12;0
7790580222109;;Gomita Eucogoma x 1 Kgs;14.08;309;N;1;6;0
7790580601409;;Menta Cristal x 935 Grs.;17.59;47;N;1;6;0
7793024000950;;Chupetin Wamis Leche x 50 u;4.48;0;N;1;12;0
7791293019833;;Sedal Sh Ceramidas 12u x 200ml;5.52;402;N;1;12;0
7791293011356;;Sedal Sh Crema x 24u;10.35;311;N;1;4;0
7790580403805;;Gomita Fantasia x 1 Kgs;14.08;252;N;1;6;0
7790580640101;;Gomita Yelly Roll x 1 Kgs;14.08;512;N;1;6;0
7791293011363;;Sedal Enj Balance x 24u;9.06;254;N;1;4;0
7792350004533;;Choclo Crema x 350g (24);2.27;911;N;1;24;0
7790645001199;47790645003313;Pimientos Morrones entero x 185grs;4.3;5;N;1;24;0
103;;Pa�ales Confees G. X 10u;4.1;0;N;1;16;0
104;;Pa�ales Confees XG  x 8u;4.11;0;N;1;16;0
7791290783911;;Ala  Regular 24u x 400gr;4;21;N;1;24;0
7791290783362;;Drive regular P. por el Campo x 400gr (24);2.88;404;N;1;24;0
7791290783973;;Ala Matic Sol 24u x 800grs;8.46;74;N;1;24;0
7792409006716;;Papel H Nittides Blanco 30m x 4u;1.79;1;N;1;12;0
7791290785045;;Ala Fr.Citricas Lv Vaj 15u x 750ml;3.65;0;N;1;15;0
122;;Alf Genio Surtido 24u x 60g;14.59;0;N;1;1;0
1000007792264;;Alf Genio Negro 24u x 60g;14.59;0;N;1;1;0
7791290785038;;Ala P.Naturaleza Lv Vaj 15x 750ml;3.65;0;N;1;15;0
7794000730052;;Ades Naranja x 200 cc;1.47;554;N;1;24;0
7794000730021;;Ades Manzana x 200 cc;1.47;17;N;1;24;0
7794000730106;;Ades Multifruta x 200 cc;1.47;1034;N;1;24;0
129;47794268004863;Provenzal R.M 10u X 25g;11.59;77;N;1;1;0
4779426800044;;Aji Molido R.M 10u x 25g;12.26;37;N;1;1;0
7791293991368;;Jabon Suave Alore Vera x 150gr (60);1.49;614;N;1;60;0
7794000730014;;Ades Manzana  x 1lt (12);4.31;13;N;1;12;0
7794000730045;;Ades Naranja x 1lt (12);4.31;3;N;1;12;0
7793024000073;;Gajitos x 907 grs;14.04;4;N;1;12;0
7794000730090;;Ades Multifruta x 1lt (12);4.31;257;N;1;12;0
4779426800045;;Comino Molido R.M 10u X 25g;12.37;32;N;1;1;0
7794000730076;;Ades Durazno x 1lt (12);4.31;96;N;1;12;0
139;47794268000193;Oregano R.M 10u x 25g;12.93;80;N;1;1;0
7794000957558;7794000957565;Mayonesa Rick x 125g (20);1.39;0;N;1;40;0
7794000957534;27794000957538;Mayonesa Rick x 250g (8);2.35;2;N;1;8;0
7790380002840;;Flynn Paff Manzana  X 70U;8.44;88;N;1;12;0
7790380002659;;Flynn Paff Banana  X 70U;8.86;97;N;1;12;0
7790380002857;;Flynn Paff Frutilla X 70U;8.44;64;N;1;12;0
7794000957602;;Savora x 60g (30);1.2;23;N;1;60;0
7790380002734;;Flynn Paff T.Frutti X 70U;8.44;275;N;1;12;0
4779426800042;;Pimenton R.M 10u x 25g;12.15;79;N;1;1;0
7790380002666;;Flynn Paff Uva X 70U;8.44;40;N;1;12;0
4779426800460;;Laurel Hojas R.M 10u x 15g;14.85;12;N;1;1;0
156;;P.Maiz Sabor Queso X 20U;4.7;357;N;1;10;0
7794000957244;;Ketchup Hellmanns x60  (12);1.23;14;N;1;48;0
7794000411227;57794000411222;Salsa Golf Hellmanns x 125g (20);2.42;14;N;1;40;0
4779426800461;;Chimichurri R.M 10u x 25g;14.51;11;N;1;1;0
7794268004742;;Azucar Impalpable R.M x 200g;2.12;8;N;1;20;0
2779089300064;;Grandote 2 Ngr 40U X 38G;19.41;284;N;1;1;0
2779089300062;;Grandote 2 Sur.40 u x 38g;19.41;188;N;1;1;0
1779809422512;;PIC NIC negro x 40u;16.96;0;N;1;1;0
2779089300065;;Grandote 2 bl.40u x 38g;19.41;152;N;1;1;0
3779089300012;;Grandote Ngr x 24u;19.41;914;N;1;1;0
3779089300013;;Grandote Bco x 24u;19.41;348;N;1;1;0
;37790893000143;Grandote Surtido x 24u;19.41;120;N;1;1;0
7793024000066;;Medallon Frutal Surtido x 907 Grs;14.04;21;N;1;12;0
7793024060503;;Medallon Miel  x 800Grs;14.04;0;N;1;12;0
7793024000448;;Baston Praline  x 907 Grs;14.04;60;N;1;12;0
7793024000370;;Bolon Sportlipo x 907 Grs;14.04;3;N;1;12;0
7793024000523;;Bolon Ce Leche  x 907 Grs;14.04;39;N;1;12;0
7793024000714;;Chupetin Wamis Magico x 50 u;4.48;1;N;1;12;0
7793024007638;;Chupetin Wamis Super Acido x 50u;4.48;85;N;1;12;0
7791324157060;;Pitusas Chocolate caja x 4Kg Fort.;45.58;1;N;1;1;0
7790590005198;17790590005195;Velas Victoria  x 80g;0.86;37;N;1;50;0
184;;Traviata Sunchada  3 x 120g;0;0;N;1;10;0
7791293999029;;Sedal Sh Liso Perfecto x 24u;10.35;190;N;1;4;0
7790545012080;;Camaleon X 3U;1.63;3829;N;1;480;0
7790545012097;;Punticrem X 3U;1.65;834;N;1;480;0
7790807730264;;Lamparas Franklin 40w;1.41;3220;N;1;100;0
7790807730271;;Lamparas Franklin 60w;1.41;1891;N;1;100;0
7790807730288;;Lamparas Franklin 75w;1.66;3674;N;1;100;0
7790807730295;;Lamparas Franklin 100w;1.66;3878;N;1;100;0
7798006350382;;Bolon Junior Renome x 300g;6.01;0;N;1;18;0
7790590005181;17790590005188;Velas Victoria  x 160g;1.7;5;N;1;25;0
7894400001148;;Lamparas Philips 60w;1.64;2593;N;1;100;0
7894400001179;;Lamparas Philips 150w;3.91;164;N;1;100;0
7894400001902;;Lamparas Philips 200w;4.85;494;N;1;100;0
207;;Postres Surtidos  x 200 grs;0.99;0;N;1;24;0
7790380002994;;Mast. Flynnies Yoghurt X 495G;8.37;474;N;1;12;0
5010327000046;;Whisky williams grant^s  x 750;50.46;0;N;1;12;0
7790290002190;17790290002197;Fernet Branca Menta 6 x 750;28.97;207;N;1;6;0
212;;Salsa Golf Fanacoa  x 250 cc;2.06;0;N;1;8;0
1000007792274;;Alf Genio Blanco 24u x 60g;14.59;0;N;1;1;0
215;;Odol  X 70G;2.17;0;N;1;72;0
216;;Criollitas 3u x 105;0;0;N;1;16;0
217;;Bayaspirina Forte x 40 u;6.95;0;N;1;20;0
8009265332002;;Licor Di Limone Strega 6 x 700;36.07;24;N;1;6;0
7790290007195;17790290007192;Vermut Punt E Mes 6 x 750;15.98;107;N;1;6;0
7794268000256;;Te Tilo R.M 10u x 25s;4.18;146;N;1;10;0
7794268000270;;Te Manzanilla R.M  x 25s;1.7;339;N;1;10;0
7794268000263;;Te Boldo R.M x 25s;2.63;338;N;1;10;0
7794268000225;;Te Reina Mora x 25s (10);1.39;762;N;1;10;0
224;;Pimienta Negra R.M 10 x 25g;12.53;0;N;1;1;0
4779426800046;;Pimienta Blanca R.M 10u x 25g;20.02;85;N;1;1;0
227;;Bordolino Rosado 12 x 1000;2.91;0;N;1;12;0
7894400001155;;Lamparas Philips 75w;1.94;10;N;1;100;0
7894400001162;;Lamparas Philips 100w;1.94;20;N;1;100;0
233;;Aceite C del Sol x 500cc;2.32;0;N;1;24;0
7793024000257;;Super Acido x 1kg;14.04;96;N;1;12;0
7793024000271;;Baston viena x 907g;14.04;7;N;1;12;0
7791293991337;;Jabon Suave Coco y Leche x 150grs (60);1.49;438;N;1;60;0
255;;Tutucas Burbujas x 30U;7.14;42;N;1;10;0
256;;Tutucas Manisur x 30u;6.04;0;N;1;10;0
257;;Chispitas de Color x 30U;4.33;0;N;1;10;0
7790645002059;;Caballa en Aceite x 380g;6.09;0;N;1;24;0
7791290783485;;Vivere Dia Dia 12u x 900ml;3.58;552;N;1;12;0
263;;Palito Salado X 30U;7.37;607;N;1;10;0
7791599000252;;Fideos Spaghetti  x 500g;2.12;9634;N;1;12;0
275;;Fideos �oquis x 500g (12);2.12;92;N;1;12;0
7791599000917;;Fideos Dedal x 500g;2.12;1662;N;1;12;0
279;;Kolynos X 70G;2.69;0;N;1;72;0
283;;Tabcin Antigripal Acc Rapida x 8u;6.3;0;N;1;150;0
7791324157091;;Pitusas Mousse Caja X 4 Kg Fort.;45.58;31;N;1;1;0
289;;Cafiaspirina Plus x 40 u;6.95;0;N;1;20;0
7791906919215;;Toallitas Lips con Alas;1.3;1;N;1;40;0
7791680101400;;La Hoja x 250g;1.46;1779;N;1;20;0
7791680101257;;La Hoja x 500g;2.78;2378;N;1;10;0
300;;Espirales "DﾴQUALITY" x 4 U.;0.33;0;N;1;50;0
7791599000948;;Fideos Fusillis x 500g;2.12;610;N;1;12;0
7791599001341;;Fideos Tirabuzon x 500g;2.12;1181;N;1;12;0
7790129501375;;Fosforitos Cohete x 40u;4.79;146;N;1;80;0
7791599000979;;Fideos Tallarines 12u x 500;2.12;5200;N;1;12;0
7794612002486;;Alka Cherry x 800g;15.18;35;N;1;10;0
7794612002752;;Alka Limon x 800g;15.18;89;N;1;10;0
7794612002479;;Alka Mentol x 800g;15.18;62;N;1;10;0
329;;Alka Miel x 800g;14.18;0;N;1;10;0
7794612002769;;Alka Strong x 800g;15.18;103;N;1;10;0
7790580199104;;Chupetin Cosmos x 50u;7.77;222;N;1;12;0
350;;Globos F.Cumplea�os X 25U;5.68;0;N;1;40;0
7791806003878;;Globos Lisos  cotillon9"x 50u;5.77;0;N;1;100;0
7791324157022;;Pitusas Vainilla 30u x 160g;2.08;1979;N;1;30;0
7791324157084;;Pitusas Mousse 30u x 160g;2.08;171;N;1;30;0
7791324157046;;Pitusas Chocolate 30u x 160g;2.08;1322;N;1;30;0
7793024008611;;Chupetin Wamis Yoghus Pop x 50u;4.48;2;N;1;12;0
7798094229935;;Palmeritas 15u x 180 Grs;1.45;263;N;1;15;0
7798094229027;;Coquitos 15 u x 180 Grs;1.45;342;N;1;15;0
7798094229010;;Boquitas de Limon 15u x 180 Grs;1.45;266;N;1;15;0
7798094229041;;Medallon Chocolate 15u x 180g;1.45;400;N;1;15;0
7798094229058;;Medallon Dulce de Leche 15u x 180g;1.45;407;N;1;15;0
461;;Bizcochos de Grasa 15u x 180g;1.35;2;N;1;15;0
500;;Bocadito Stopy Cacao 60u x 17g;13.92;175;N;1;1;0
7794000401389;47794000401387;Mayonesa Hellmanns x 500cc (15);5.95;3;N;1;15;0
